Date,ESM6P 1890 Index,ESM6P 1895 Index,ESM6P 1900 Index,ESM6P 1905 Index,ESM6P 1910 Index,ESM6P 1915 Index,ESM6P 1920 Index,ESM6P 1925 Index,ESM6P 1930 Index,ESM6P 1935 Index,ESM6P 1940 Index,ESM6P 1945 Index,ESM6P 1950 Index,ESM6P 1955 Index,ESM6P 1960 Index,ESM6P 1965 Index,ESM6P 1970 Index,ESM6P 1975 Index,Open,High,Low,Close,SMAVG (200) on Close
2/10/2016,123,125.5,128,130.5,133.25,136,138.5,141.25,144,147,149.75,152.75,155.75,158.75,162,165,168,171.5,120.5,120.5,120.5,120.5,
2/9/2016,122.5,125,127.5,130,132.75,135.25,138,140.5,143.25,146,149,152,154.75,157.75,161,164,167,170.25,120.25,120.25,120.25,120.25,
2/8/2016,120,122.5,125,127.5,130,132.75,135.5,138,140.75,143.5,146.25,149.25,152.25,155.25,158.25,161.25,164.5,167.5,117.75,117.75,117.75,117.75,
2/5/2016,106.25,108.5,110.75,113,115.5,117.75,120.25,122.75,125.25,127.75,130.5,133,135.75,138.5,141.25,144.25,147,150,104,104,104,104,
2/4/2016,90,92,94,96,98,100,102.25,104.25,106.5,108.75,111,113.5,116,118.5,121,123.5,126,128.75,88,88,88,88,
2/3/2016,88.5,90.5,92.5,94.5,96.5,98.5,100.75,102.75,105,107.25,109.5,111.75,114.25,116.75,119.25,121.75,124.5,127,86.75,86.75,86.75,86.75,
2/2/2016,93.5,95.5,97.5,99.5,101.75,103.75,106,108.25,110.5,113,115.5,118,120.5,123,125.5,128.25,131,133.75,91.5,91.5,91.5,91.5,
2/1/2016,77.25,79,80.75,82.5,84.25,86.25,88,90,92,94.25,96.25,98.5,100.5,102.75,105,107.5,109.75,112.25,79.25,79.25,79.25,75.5,
1/29/2016,78.5,80.25,82,83.75,85.75,87.5,89.5,91.5,93.5,95.5,97.5,99.75,102,104,106.5,108.75,111.25,113.5,96.75,96.75,96.75,76.75,
1/28/2016,101.5,103.75,105.75,108,110.25,112.5,115,117.5,120,122.5,125,127.5,130.25,133,136,138.75,141.75,144.75,99.5,99.5,99.5,99.5,
1/27/2016,106,108.25,110.5,112.75,115.25,117.5,120,122.5,125,127.5,130.25,133,135.75,138.5,141.25,144.25,147,150,104,104,104,104,
1/26/2016,96.25,98.25,100.25,102.5,104.5,106.75,109,111.25,113.5,116,118.5,121,123.5,126,128.75,131.5,134,137,94.25,94.25,94.25,94.25,
1/25/2016,109.75,112,114.25,116.5,119,121.5,124,126.5,129,131.5,134.25,137,139.75,142.5,145.5,148.25,151.25,154.25,107.5,107.5,107.5,107.5,
1/22/2016,95.75,97.75,99.75,101.75,104,106,108,110.5,112.75,115,117.5,119.75,122.25,124.75,127.25,129.75,132.5,135.25,99.5,99.5,99.5,93.75,
1/21/2016,118.5,121,123.25,125.5,128,130.5,133,135.5,138,140.75,143.5,146.25,149,151.75,154.75,157.5,160.5,163.5,116.5,116.5,116.5,116.5,
1/20/2016,121.5,124,126.5,128.75,131.25,133.75,136.25,139,141.5,144.25,147,149.75,152.75,155.5,158.5,161.5,164.5,167.75,119.25,119.25,119.25,119.25,
1/19/2016,111.75,114,116,118.5,120.75,123,125.5,128,130.5,132.75,135.5,138,140.75,143.5,146.25,149,152,154.75,109.5,109.5,109.5,109.5,
1/15/2016,113,115.25,117.5,119.75,122,124.25,126.75,129,131.5,134,136.5,139,141.5,144.25,147,149.75,152.5,155.5,111,111,111,111,
1/14/2016,93,94.75,96.75,98.5,100.5,102.5,104.75,106.75,109,111,113.25,115.5,118,120.25,122.5,125,127.5,130,91,91,91,91,
1/13/2016,109.25,111.25,113.5,115.5,118,120.25,122.5,125,127.25,129.75,132.25,134.75,137.5,140,142.75,145.5,148.25,151,98.5,98.5,98.5,107,
