Date,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,Open,High,Low,Close
3/18/2016,142.5,147,151.25,155.75,160.5,165,169.75,174.5,179.25,184,188.75,193.5,198.5,203.25,208.25,213,218,223,138.5,138.5,138.5,138.5
3/17/2016,149.25,153.5,158,162.5,167,171.75,176.5,181,186,190.75,195.5,200.5,205.25,210.25,215,220,225,230,145,145,145,145
3/16/2016,161.25,165.75,170.25,175,179.5,184.25,189,193.75,198.5,203.5,208.25,213.25,218,223,228,233,237.75,242.75,156.75,156.75,156.75,156.75
3/15/2016,172,176.75,181.25,185.75,190.5,195.25,200,204.75,209.5,214.5,219.25,224,229,234,239,244,248.75,253.75,167.75,167.75,167.75,167.75
3/14/2016,169.5,174,178.5,183,187.75,192.5,197,202,206.75,211.5,216.5,221.25,226.25,231.25,236,241,246,251,165,165,165,165
3/11/2016,169,173.25,177.75,182.25,186.75,191.5,196,201,205.5,210.5,215.25,220.25,225,230,234.75,239.75,244.75,249.75,164.5,164.5,164.5,164.5
3/10/2016,198,202.5,207.25,212,216.75,221.5,226.25,231,236,241,245.75,250.75,255.75,260.5,265.5,270.5,275.5,280.5,193.5,193.5,193.5,193.5
3/9/2016,198,202.75,207.25,212,216.75,221.5,226.25,231,236,240.75,245.75,250.5,255.5,260.5,265.5,270.5,275.5,280.25,193.5,193.5,193.5,193.5
3/8/2016,206,210.5,215.25,220,224.75,229.5,234.5,239.25,244,249,254,259,263.75,268.75,273.75,278.75,283.5,288.5,201.5,201.5,201.5,201.5
3/7/2016,188.5,193,197.5,202,206.75,211.5,216.25,221,226,230.75,235.75,240.5,245.5,250.5,255.5,260.25,265.25,270.25,184,184,184,184
3/4/2016,192.5,197,201.5,206.25,211,215.5,220.5,225.25,230,235,239.75,244.75,249.75,254.5,259.5,264.5,269.5,274.5,188,188,188,188
3/3/2016,196.75,201.5,206,210.5,215.25,220,225,229.75,234.5,239.5,244.25,249.25,254,259,264,269,274,278.75,192.25,192.25,192.25,192.25
3/2/2016,203,207.75,212.5,217,222,226.75,231.5,236.5,241.25,246.25,251,256,261,266,271,276,280.75,285.75,198.5,198.5,198.5,198.5
3/1/2016,208.75,213.25,218,222.75,227.5,232.25,237,242,246.75,251.75,256.5,261.5,266.5,271.5,276.5,281.5,286.5,291.5,204,204,204,204
2/29/2016,255.75,260.5,265.5,270.25,275,280,285,290,294.75,299.75,304.75,309.75,314.75,319.75,324.75,329.75,334.75,339.75,251,251,251,251
2/26/2016,243.25,248,252.75,257.5,262.5,267.25,272,277,282,287,291.75,296.75,301.75,306.5,311.5,316.5,321.5,326.5,238.5,238.5,238.5,238.5
2/25/2016,236,240.5,245.25,250,255,259.75,264.5,269.5,274.25,279.25,284.25,289,294,299,304,309,314,318.75,231.25,231.25,231.25,231.25
2/24/2016,256,260.5,265.5,270.25,275,280,284.75,289.75,294.5,299.5,304.5,309.25,314.25,319.25,324.25,329,334,339,251.25,251.25,251.25,251.25
2/23/2016,269,274,278.75,283.5,288.5,293.5,298.25,303.25,308,313,318,323,328,333,338,343,347.75,352.75,264.25,264.25,264.25,264.25
2/22/2016,249.5,254,259,263.75,268.5,273.5,278.25,283,288,293,298,302.75,307.75,312.75,317.75,322.75,327.75,332.5,244.75,244.75,244.75,244.75
